,source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count,datetime
103,TikTok,OliviaHenderson,7.58132E+18,2027-04-12 11:09:00.661000+00:00,but don’t worry as long as it happens multiple times first they might actually do something! #oliviahenderson #fypage #doordashdriver #sa #storytime #women #doordashgirl #police #crimetok ,en,114,FALSE,,FALSE,FALSE,73,107,1,3968,703,6,264200,65,12/7/2025 21:23
104,TikTok,OliviaHenderson,7.57636E+18,2027-03-29 18:19:15.107000+00:00,"it’s getting weird. I’m telling yall since the Amber Heard trial it’s been downhill. that smear campaign really did a number on the public.  and especially after the recent smear campaign against Olivia Henderson too. this is getting insanely scary, this behavior against victims is not normal. #kierabreaugh #abuseawareness ",en,114,FALSE,,FALSE,FALSE,1113,56,7,29200,13100,2092,2200000,1514,11/24/2025 12:15
105,TikTok,OliviaHenderson,7.58241E+18,2027-04-15 11:24:55.631000+00:00,DOORDASH GIRL LOST FOR WORDS AFTER FIRST COURT APPEARANCE 😬 #yaboyant #doordash #girl #arrested #prison ,en,114,FALSE,,FALSE,FALSE,1853,34,57,60100,74300,52,3900000,1344,12/10/2025 19:57
106,TikTok,OliviaHenderson,7.57364E+18,2027-03-22 06:21:01.304000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,FALSE,,FALSE,FALSE,35,6,2,20200,9927,3,32100,65,11/17/2025 4:30
107,TikTok,OliviaHenderson,7.57296E+18,2027-03-20 09:18:16.788000+00:00,"She’s been arrested yall #doordashgirl #fyp #lol #oliviahenderson @Stephanie, Esq. ",en,114,FALSE,,FALSE,FALSE,121,11,3,7807,2586,559,137100,1342,11/15/2025 8:31
108,TikTok,OliviaHenderson,7.57413E+18,2027-03-23 15:05:15.151000+00:00,"TLDW Don’t post until you need to, don’t implicate yourself, report first, court of public opinion second. #doordasher #oliviahenderson #scandal #viraltiktok #lessons ",en,114,FALSE,,FALSE,FALSE,38,8,0,496,16000,567,1800000,1668,11/18/2025 12:29
109,TikTok,OliviaHenderson,7.5958E+18,2027-05-22 09:57:25.609000+00:00,Fake #doordash victim?? Yup lets talk about #oliviahenderson and her fake victim outcry! #truecrime #truecrimetok #letstalkaboutit ,en,114,FALSE,,FALSE,FALSE,6,0,0,211,153,43,813,35,1/15/2026 21:43
110,TikTok,OliviaHenderson,7.57392E+18,2027-03-23 00:56:13.540000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,68,4,4,6785,14600,15,599000,79,11/17/2025 22:39
113,TikTok,OliviaHenderson,7.57391E+18,2027-03-23 00:10:32.565000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,FALSE,,FALSE,FALSE,196,9,3,19100,14600,3,110700,230,11/17/2025 21:55
114,TikTok,OliviaHenderson,7.57317E+18,2027-03-20 23:20:07.581000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,FALSE,,FALSE,FALSE,83,10,1,3699,9808,0,176700,48,11/15/2025 22:13
115,TikTok,OliviaHenderson,7.57315E+18,2027-03-20 21:55:57.629000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,323,30,102,121200,12400,0,16900,48,11/15/2025 20:51
116,TikTok,OliviaHenderson,7.57312E+18,2027-03-20 20:04:23.433000+00:00,Replying to @riverbrian #themanicuredmom #doordashgirl #oliviahendersen #falseallegationsruinlives #toxicwomenbelike ,un,114,FALSE,,FALSE,FALSE,29700,1918,1953,1200000,260000,3374,4800000,2230,11/15/2025 19:02
117,TikTok,OliviaHenderson,7.58217E+18,2027-04-14 19:21:15.175000+00:00,"The truth about the DoorDash camera footage. People are still confused, so here’s what was actually confirmed in court. #DoorDashUpdate #OliviaHenderson #RingCamera #CaseUpdate #CourtNews #ViralStory #TrendingNow #ForYou #FYP #SafetyFirst",en,114,FALSE,,FALSE,FALSE,128,12,2,23500,10400,69,9172,81,12/10/2025 4:16
118,TikTok,OliviaHenderson,7.58138E+18,2027-04-12 14:53:56.056000+00:00,I'm probably not gonna make anymore videos about this . argue with ya mama  ... #fyp #doordashgirl #oliviahenderson #sa #court,en,114,FALSE,,FALSE,FALSE,89,51,0,5953,1329,481,32100,289,12/8/2025 1:02
119,TikTok,OliviaHenderson,7.57309E+18,2027-03-20 18:06:43.242000+00:00,Replying to @Albino-poet #doordashgirl #survivors #doordash #oliviahenderson ,un,114,FALSE,,FALSE,FALSE,31,3,1,1095,6561,3747,134200,2465,11/15/2025 17:07
120,TikTok,OliviaHenderson,7.57821E+18,2027-04-03 21:07:42.689000+00:00,#VictimBlaming #DoorDashGirl #OliviaHenderson #MakeAmericaMoralAgain #RageBait ,un,114,FALSE,,FALSE,FALSE,75,11,0,1357,12700,3766,162900,693,11/29/2025 12:11
121,TikTok,OliviaHenderson,7.57465E+18,2027-03-25 01:11:52.750000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,307,6,12,32100,9651,4,4486,46,11/19/2025 21:47
122,TikTok,OliviaHenderson,7.57304E+18,2027-03-20 14:41:22.647000+00:00,#doordashgirl #survivors #doordash #oliviahenderson ,un,120,FALSE,,FALSE,FALSE,58,12,1,1884,6561,3747,134200,2465,11/15/2025 13:46
123,TikTok,OliviaHenderson,7.57704E+18,2027-03-31 15:50:42.018000+00:00,"well, Olivia Henderson got taught a valuable lesson about accountability. hopefully she understands that you can't do what she did without repercussions. #doordashgirl #arrested #oliviahenderson #fyp  #reacting ",en,114,FALSE,,FALSE,FALSE,1348,24,10,129600,18200,36,385600,434,11/26/2025 8:43
124,TikTok,OliviaHenderson,7.57316E+18,2027-03-20 22:39:00.777000+00:00,DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,1183,50,183,244200,9644,0,8878,25,11/15/2025 21:33
127,TikTok,OliviaHenderson,7.46544E+18,2026-05-27 16:37:44.941000+00:00,,un,110,FALSE,,FALSE,FALSE,28,6,0,259,6515,5230,76500,1143,1/29/2025 14:44
128,TikTok,OliviaHenderson,7.57305E+18,2027-03-20 15:33:23.215000+00:00,DoorDash lady arrested #doordash #oliviahenderson #doordashlady #makecontent #makecontent ,en,114,FALSE,,FALSE,FALSE,149,8,1,3664,35000,4514,952100,2242,11/15/2025 14:37
129,TikTok,OliviaHenderson,7.59829E+18,2027-05-29 06:41:43.825000+00:00,well she’s clearly not an actress…but this proves she was very into crime…#kaylie #imrealllypretty #jodiarias #truecrime,en,101,FALSE,,FALSE,FALSE,86600,646,3972,1400000,5256,40,5900000,130,1/22/2026 14:36
130,TikTok,OliviaHenderson,7.57659E+18,2027-03-30 09:55:57.618000+00:00,"Hey there @irlmonsterhighdoll, how’s it going? #DoorDash #DoorDashGirl #ImTheVictim #Felony #ByeFelicia #SYBAU #Prison #FalseReport #IToldYouSo #Olivia #OliviaHenderson #fyp",en,110,FALSE,,FALSE,FALSE,71,3,12,15400,2614,7628,118000,513,11/25/2025 3:30
131,TikTok,OliviaHenderson,7.57322E+18,2027-03-21 02:15:58.854000+00:00,"""Door Dash Girl"", Olivia Henderson, has been arrested and charged with two felonies related to recording a customer in his home and posting the video online. Henderson had been deactivated by #DoorDash after publicly sharing the footage, as sharing videos taken inside a customer's home is a violation of company policy regarding privacy. Henderson initially posted the video on TikTok, claiming she had been sexually assaulted when she arrived at a customer's home to find the door open and the man lying on the couch, naked from the waist down. However, further details and potential security camera footage suggested she pushed the door open and entered the home without permission to film the customer, who was reportedly passed out.  #explore #fyp #DoorDashGirl ",en,114,FALSE,,FALSE,FALSE,62,3,3,27300,4649,40,281400,532,11/16/2025 1:05
132,TikTok,OliviaHenderson,7.57362E+18,2027-03-22 05:10:59.861000+00:00,Doordash girl Arrested#OliviaAnderson #DoorDash #PrivacyViolation #FelonyCharges #CrimeNews #ViralVideo #InternetSafety #Accountability #BreakingNews ,en,114,FALSE,,FALSE,FALSE,41,6,0,3311,10800,0,69200,8,11/17/2025 3:22
133,TikTok,OliviaHenderson,7.58566E+18,2027-04-24 10:42:04.800000+00:00,"My Friends, This Is Olivia Henderson’s Little Sister Defending Her Own Sister Even Though Her Own Sister Is Wrong For What She Did To A Innocent Man, My Friends. #oliviahenderson #thedoordashergirl #crazykarens #karensgoingwild #OswegoNewYork  ",en,114,FALSE,,FALSE,FALSE,0,0,0,137,0,0,4,8,12/19/2025 14:12
134,TikTok,OliviaHenderson,7.57316E+18,2027-03-20 22:39:04.471000+00:00,Update: Olivia Henderson aka  DoorDash girl has been  arrested#foryou #breakingnews #news #doordash #doordashgirl ,en,114,FALSE,,FALSE,FALSE,376,28,32,68300,173600,0,4100000,437,11/15/2025 21:33
135,TikTok,OliviaHenderson,7.57795E+18,2027-04-03 04:03:45.633000+00:00,@jules is shadowbanned #doordashgirl #doordashdriver #oliviahenderson #doordash,un,105,FALSE,,FALSE,FALSE,66,38,8,12200,4466,1080,7828,213,11/28/2025 19:31
136,TikTok,OliviaHenderson,7.5735E+18,2027-03-21 20:57:36.808000+00:00,@aurajunkie #doordashgirl ##doordashdriver #OliviaHenderson ,un,120,FALSE,,FALSE,FALSE,10,5,9,2827,4466,1080,7828,213,11/16/2025 19:20
138,TikTok,OliviaHenderson,7.5736E+18,2027-03-22 03:34:22.753000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED!#foryou #fyp #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,13,1,7,1149,46500,0,266200,351,11/17/2025 1:48
139,TikTok,OliviaHenderson,7.5812E+18,2027-04-12 02:55:00.936000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo ,en,114,FALSE,,FALSE,FALSE,53200,2796,1102,690700,341300,436,26200000,1818,12/7/2025 13:20
140,TikTok,OliviaHenderson,7.58142E+18,2027-04-12 17:33:10.458000+00:00,Here’s what happened at DoorDash Girls Arraignment #viralvideo #foryoupage #attorneylife #doordash #doordashgirl,en,114,FALSE,,FALSE,FALSE,423,13,8,39600,10100,0,29600,79,12/8/2025 3:38
141,TikTok,OliviaHenderson,7.5835E+18,2027-04-18 11:12:46.620000+00:00,Oh Olivia… #doordashgirl ,en,120,FALSE,,FALSE,FALSE,37,6,0,947,5878,5756,73600,356,12/13/2025 18:04
142,TikTok,OliviaHenderson,7.57306E+18,2027-03-20 15:44:11.318000+00:00,"Y’all remember that #DoorDashgirl story from a month ago? Well girl girl has been arrested for recording the customer inside of his home and posting it online.  What originally happened is that the Dasher, Olivia Henderson, went to deliver food and saw  the customer passed out with no pants on and the door wide open. She assumed that he intentionally flashed her and recorded as proof and then posted it online exposing his first name and the house number. It is important to note that there is no conclusive proof that Olivia physically went inside of his house, she just recorded from the outside. She went viral for saying that she was SA’d even though people are debating whether being indecently exposed to counts as SA. #truecrime #doordash #lawandorder ",en,114,FALSE,,FALSE,FALSE,16100,666,440,201400,290800,685,50400000,1660,11/15/2025 14:48
143,TikTok,OliviaHenderson,7.58173E+18,2027-04-13 14:20:38.473000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,614,44,56,78200,12400,3,87100,75,12/8/2025 23:56
144,TikTok,OliviaHenderson,7.57309E+18,2027-03-20 17:59:49.515000+00:00,"""Doordash Girl"" Olivia Henderson got arrested for posting the videos of Austin N. #doordash #sa #newyork #controversy #fyp ",en,114,FALSE,,FALSE,FALSE,2280,344,91,222900,25100,9997,598800,1814,11/15/2025 17:00
145,TikTok,OliviaHenderson,7.57355E+18,2027-03-22 00:05:17.538000+00:00,Arrestan a @irlmonsterhighdoll por “S3S54L 4SS4LT” ,es,114,FALSE,,FALSE,FALSE,287,15,18,10900,132500,457,7500000,1309,11/16/2025 22:23
146,TikTok,OliviaHenderson,7.58238E+18,2027-04-15 09:28:27.353000+00:00,DoorDash delivery girl regrets filming the man passed out sleeping in his couch after realizing just how bad her first court appearance would be😭🙏 #asmongold #doordash #oliviahenderson #fyp #viral,en,114,FALSE,,FALSE,FALSE,17500,85,337,513600,185900,5,29100000,387,12/10/2025 18:03
147,TikTok,OliviaHenderson,7.58165E+18,2027-04-13 08:56:07.725000+00:00,#doordashgirl #oliviahernandez #court #doordashgirlsastory #viral,un,114,FALSE,,FALSE,FALSE,40,3,0,3655,33000,625,1100000,1234,12/8/2025 18:39
148,TikTok,OliviaHenderson,7.57479E+18,2027-03-25 10:42:08.288000+00:00,,un,120,FALSE,,FALSE,FALSE,95,3,5,7468,10200,25,45200,113,11/20/2025 7:04
149,TikTok,OliviaHenderson,7.58243E+18,2027-04-15 12:34:52.768000+00:00,"Livvie Rose Henderson, a #DoorDash driver, went #viral after filming a naked, unconscious man during an October 12, 2025 #delivery and posting it online while claiming he exposed himself. Police later said the man was incapacitated and not acting intentionally, and Henderson was arrested on November 10 for unlawful surveillance and sharing the footage. She was #fired from DoorDash, and the case sparked debate over privacy, safety, and social media posting during deliveries. 👀‼️  Via 🔌:  WSYR 9 #theauxtalk       ",en,114,FALSE,,FALSE,FALSE,13,4,2,1983,3962,1,690500,494,12/10/2025 21:05
150,TikTok,OliviaHenderson,7.57409E+18,2027-03-23 12:09:37.821000+00:00,I’m the victim. #,en,120,FALSE,,FALSE,FALSE,262,52,10,65300,259,41,262,1,11/18/2025 9:37
151,TikTok,OliviaHenderson,7.57297E+18,2027-03-20 10:14:38.692000+00:00,"#greenscreen what are your thoughts? All parties are considered innocent until proven guilty. I’m sharing an update on the situation with the information that is available to the public. Most of my information I got from @Stephanie, Esq. #doordash #doordashgirl ",en,114,FALSE,,FALSE,FALSE,3014,196,186,80200,325700,823,42400000,4287,11/15/2025 9:26
152,TikTok,OliviaHenderson,7.57378E+18,2027-03-22 15:23:02.074000+00:00,@aurajunkie #doordashgirl #doordashdriver #OliviaHenderson #law ,un,114,FALSE,,FALSE,FALSE,30,17,6,4135,4466,1080,7828,213,11/17/2025 13:20
153,TikTok,OliviaHenderson,7.57304E+18,2027-03-20 14:56:44.725000+00:00,Did the DoorDash girl Olivia Henderson    @irlmonsterhighdoll deserve to be arrested? Olivia is being charged with unlawful surveillance and dissemination after she posted a video of a DoorDash customer n*de on his couch. #doordashgirl #arrested #doordashdriver #irlmonsterhighdoll #newyork ,en,114,FALSE,,FALSE,FALSE,686,227,62,154200,106500,5153,11200000,1520,11/15/2025 14:01
154,TikTok,OliviaHenderson,7.57326E+18,2027-03-21 05:03:21.177000+00:00,DoorDash GIRL ARRESTED AND CHARGED. #FYP #doordash #legaldrama #ovliviahenderson #lies   ,en,114,FALSE,,FALSE,FALSE,365,48,45,63200,10700,0,18400,32,11/16/2025 3:48
155,TikTok,OliviaHenderson,7.59743E+18,2027-05-26 22:00:39.143000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fypシ #update #tiktok #story #storytime #pov #viral #oliviahenderson #fyp #doordash #bnc_news #foryou #news,en,114,FALSE,,FALSE,FALSE,38,6,2,2525,11000,0,32100,182,1/20/2026 7:14
156,TikTok,OliviaHenderson,7.57314E+18,2027-03-20 21:19:20.299000+00:00,,un,114,FALSE,,FALSE,FALSE,67,2,1,3483,15800,5,158300,56,11/15/2025 20:15
157,TikTok,OliviaHenderson,7.58261E+18,2027-04-16 00:18:54.133000+00:00,Olivia Henderson made a HUGE mistake that was completely avoidable. The lesson here? STOP POSTING EVERYTHING ONLINE! ,en,114,FALSE,,FALSE,FALSE,3127,111,40,18300,248500,229,13800000,3448,12/11/2025 8:33
159,TikTok,OliviaHenderson,7.58097E+18,2027-04-11 11:58:18.293000+00:00,Door Dash Girl Olivia Henderson has been charged ,en,114,FALSE,,FALSE,FALSE,2038,29,8,13600,129800,496,3800000,865,12/6/2025 22:45
160,TikTok,OliviaHenderson,7.57305E+18,2027-03-20 15:06:14.749000+00:00,Olivia “Livie Rose” Henderson has officially been charged for the Oct. 12 incident where she recorded and exposed a man who was found underdressed in his home as she was making a DoorDash delivery #fyp #doordash #fyppppppppppppppppppppppp ,en,114,FALSE,,FALSE,FALSE,1921,170,60,91200,1613,22,92800,170,11/15/2025 14:11
161,TikTok,OliviaHenderson,7.57385E+18,2027-03-22 20:13:10.657000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,116,9,2,1744,11800,0,12300,82,11/17/2025 18:03
162,TikTok,OliviaHenderson,7.57529E+18,2027-03-26 19:30:46.768000+00:00,"And then they automatically believe Austin’s statement that he didn’t do it on purpose as if a guilty person would admit it, all while discounting the many service workers who have said that what he did is a common strategy for predatory exhibitionists #oliviahenderson #misogyny #criticalthinking #doordashdriver #factchecking ",en,114,FALSE,,FALSE,FALSE,245,30,2,17900,6569,569,5800000,359,11/21/2025 15:07
163,TikTok,OliviaHenderson,7.57314E+18,2027-03-20 21:30:24.907000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,4841,251,295,260800,11900,1,284600,165,11/15/2025 20:26
164,TikTok,OliviaHenderson,7.57331E+18,2027-03-21 08:41:55.845000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15#fyp #news #breakingnews #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,13700,143,830,401900,16100,0,194200,88,11/16/2025 7:22
165,TikTok,OliviaHenderson,7.57397E+18,2027-03-23 04:01:38.136000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,120,FALSE,,FALSE,FALSE,18,1,0,7681,13200,1,70600,55,11/18/2025 1:40
166,TikTok,OliviaHenderson,7.57361E+18,2027-03-22 04:10:12.218000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,7,0,0,2464,1,1,233,9,11/17/2025 2:23
167,TikTok,OliviaHenderson,7.57337E+18,2027-03-21 12:48:00.391000+00:00,#greenscreen #felon #doordash #drama #pov,un,114,FALSE,,FALSE,FALSE,108,13,4,15100,48200,1804,3100000,948,11/16/2025 11:22
168,TikTok,OliviaHenderson,7.57303E+18,2027-03-20 14:03:17.424000+00:00,Replying to @lolfairxd I do not feel bad AT all. #doordashgirl #doordash #feminist #feminism #womanism ,en,110,FALSE,,FALSE,FALSE,10,3,0,1926,3183,1865,469600,7151,11/15/2025 13:09
169,TikTok,OliviaHenderson,7.57313E+18,2027-03-20 20:48:17.189000+00:00,Olivia Henderson aka doordash girl has been arrested #fyp#arrested #tiktokdrama #breakingnews #doordashgirl ,en,114,FALSE,,FALSE,FALSE,396,24,54,71100,23200,0,142900,182,11/15/2025 19:45
170,TikTok,OliviaHenderson,7.57334E+18,2027-03-21 10:49:13.152000+00:00,DoorDash girl has been officially ARRESTED!!! I really hope everyone learn a lesson about this but I need my apologies NOW #doordash #doordashdriver #doordashgirl #sa #savictim ,en,114,FALSE,,FALSE,FALSE,922,169,25,16200,40900,81,6400000,249,11/16/2025 9:26
171,TikTok,OliviaHenderson,7.57352E+18,2027-03-21 22:28:34.117000+00:00,"Y'all remember that #DoorDashgirl story from a month ago? Well girl girl has been arrested for recording the customer inside of his home and posting it online. What originally happened is that the Dasher, Olivia Henderson, went to deliver food and saw the customer passed out with no pants on and the door wide open. She assumed that he intentionally flashed her and recorded as proof and then posted it online exposing his first name and the house number. Itis important to note that there is no conclusive proof that Olivia physically went inside of his house,she just recorded from the outside. She went viral for saying that she was SA'd even though people are debating whether being indecently exposed to counts as SA. #truecrime #doordash #lawandorder",en,114,FALSE,,FALSE,FALSE,32,3,0,3051,9631,0,15200,9,11/16/2025 20:49
172,TikTok,OliviaHenderson,7.57394E+18,2027-03-23 02:29:06.151000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news#oliviahenderson #doordash #update,en,120,FALSE,,FALSE,FALSE,772,23,17,115900,10600,0,109900,210,11/18/2025 0:10
173,TikTok,OliviaHenderson,7.60175E+18,2027-06-07 20:07:47.800000+00:00,,un,112,FALSE,,FALSE,FALSE,1362,52,56,9961,217900,67,7900000,1693,1/31/2026 22:39
175,TikTok,DoordashGirl,7.56267E+18,2027-02-20 00:10:08.593000+00:00,#doordash #doordashgirl ,un,120,FALSE,,FALSE,FALSE,53500,1301,3084,713300,212300,44,26700000,173,10/18/2025 16:21
177,TikTok,DoordashGirl,7.56598E+18,2027-03-01 02:43:53.651000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,120,FALSE,,FALSE,FALSE,5002,534,447,426200,11300,0,72300,37,10/27/2025 13:47
178,TikTok,DoordashGirl,7.56382E+18,2027-02-23 04:11:59.904000+00:00,What i wouldve done if i was the door dasher girl 🥹❤️‍🩹 #vexbolts #yesquad #doordashgirl ,en,120,FALSE,,FALSE,FALSE,24500,371,2064,453900,4900000,626,193000000,1746,10/21/2025 18:36
179,TikTok,DoordashGirl,7.56665E+18,2027-03-02 23:10:27.604000+00:00,"""Do you see my"" #antonchigurh #memes #doordash #doordashgirl Anton Chigurh Memes",en,104,FALSE,,FALSE,FALSE,20300,102,2958,275500,2181,44,301100,261,10/29/2025 9:11
180,TikTok,DoordashGirl,7.56416E+18,2027-02-24 02:26:10.872000+00:00,,un,105,FALSE,,FALSE,FALSE,271300,9901,1862,3200000,292700,376,26100000,722,10/22/2025 16:19
181,TikTok,DoordashGirl,7.56299E+18,2027-02-20 21:21:22.026000+00:00,just saying … #foryoupage #viral #doordash #doordashgirl #blowthisup ,en,120,FALSE,,FALSE,FALSE,6038,443,56,76700,645,17,349500,14,10/19/2025 13:02
182,TikTok,DoordashGirl,7.56298E+18,2027-02-20 20:26:27.247000+00:00,Here's what I would do if I was that Doordash Customer.  Woman says Doordash fired her after she filmed a video of her customer laying in his couch in his own home.  #doordash #lawsuit #trending  Doordash sa original video Doordash woman fired Doordash customer responds,en,114,FALSE,,FALSE,FALSE,25200,2166,794,350400,48600,1361,2700000,1075,10/19/2025 12:08
183,TikTok,DoordashGirl,6.92515E+18,2022-04-27 18:34:02.855000+00:00,This is another draft #doordash #doordashlife #doordashdriver #doordashdelivery #fyp #foryou,en,120,FALSE,,FALSE,FALSE,4684,34,5,47900,8132,5,77300,9,2/3/2021 15:19
184,TikTok,DoordashGirl,7.58253E+18,2027-04-15 19:12:42.248000+00:00,"I know she has caught on the 4th but when ChatGPT told me it was last year, I was shocked😅 why wait a whole year to only post it or maybe she reposted it? #doordashgirlupdate #doordashgirl #doordashgirlvideo",en,105,FALSE,,FALSE,FALSE,18,4,1,311,3300,1308,20300,239,12/11/2025 3:34
185,TikTok,DoordashGirl,7.56309E+18,2027-02-21 03:45:34.634000+00:00,"Full video of DoorDash, SA girl #DoorDash #Food #Delivery #News #foryoupage ",en,114,FALSE,,FALSE,FALSE,119200,14900,6108,7200000,590200,315,79000000,4252,10/19/2025 19:17
186,TikTok,DoordashGirl,7.5642E+18,2027-02-24 05:29:21.904000+00:00,The DoorDash girl is genuinely brain dead 💔 #doordashgirl #invincibleseason3 #funny #fyp #trending ,en,100,FALSE,,FALSE,FALSE,18300,263,4026,124100,877,144,96200,104,10/22/2025 19:17
187,TikTok,DoordashGirl,7.57339E+18,2027-03-21 13:57:13.039000+00:00,"Replying to @Shlum i will apologize when im wrong, which is not right now. #doordashgirl ",en,105,FALSE,,FALSE,FALSE,1648,983,47,103600,347700,810,3100000,1716,11/16/2025 12:30
188,TikTok,DoordashGirl,7.57315E+18,2027-03-20 21:43:52.935000+00:00,DoorDash girl has been arrested and charged for recording the man in his home when she was supposed to be dropping off food #foryou #doordash #Olivia ,en,114,FALSE,,FALSE,FALSE,123700,2780,9288,1900000,1500000,640,121500000,1960,11/15/2025 20:39
189,TikTok,DoordashGirl,7.5734E+18,2027-03-21 14:43:28.534000+00:00,Now she got a record smh she should’ve deliver that food and mind her business. #doordash #doordashgirl ,en,114,FALSE,,FALSE,FALSE,8534,120,144,58500,803100,1548,61700000,2086,11/16/2025 13:15
190,TikTok,DoordashGirl,7.56488E+18,2027-02-26 02:24:44.816000+00:00,KC SPEAKS THIS IS A LESSON DOOR DASH GIRL DIDNT ASK YOU TO HELP HER!! #doordashgirl #kcspeaks #doordash #fyp #defamation ,en,114,FALSE,,FALSE,FALSE,3744,490,89,107300,12600,148,492000,519,10/24/2025 15:10
191,TikTok,DoordashGirl,7.56365E+18,2027-02-22 16:26:02.797000+00:00,These customers are getting out of hand #doordash #doordashgirl #fyp #foryou #foryoupage,en,120,FALSE,,FALSE,FALSE,12300,295,173,620700,626,3054,19900,223,10/21/2025 7:06
192,TikTok,DoordashGirl,7.56553E+18,2027-02-27 21:05:14.792000+00:00,"DoorDash girl update, KC Speaks LIED and has been severed a cease and desist letter from the other Austin #doordash #doordashgirl #SA #victim #austin ",en,114,FALSE,,FALSE,FALSE,22500,629,258,380600,40900,81,6400000,249,10/26/2025 8:50
193,TikTok,DoordashGirl,7.56273E+18,2027-02-20 03:55:03.292000+00:00,Like be frl rn #doordash #saawarenes #girl #fypシ ,en,104,FALSE,,FALSE,FALSE,777000,2563,38200,7400000,2289,442,1300000,229,10/18/2025 20:00
194,TikTok,DoordashGirl,7.56412E+18,2027-02-23 23:54:41.681000+00:00,On marche sur la tête! Vous avez vu passer l’histoire de la doordash girl? #chitchat #doordashgirl #livreur #storytime ,fr,114,FALSE,,FALSE,FALSE,21100,739,490,307900,16400,26,1900000,340,10/22/2025 13:51
195,TikTok,DoordashGirl,7.56319E+18,2027-02-21 10:04:39.692000+00:00,doordash sa original post girl response react irlmonsterhighdoll ring footage movie#typ #fypシ゚viral #blowthisupforme #ftp #trending,en,114,FALSE,,FALSE,FALSE,999,134,80,172300,9332,0,16800,61,10/20/2025 1:27
196,TikTok,DoordashGirl,6.92701E+18,2022-05-02 21:54:36.678000+00:00,we getting a lot of mean comments I don’t know if I’m going to post anymore,en,115,FALSE,,FALSE,FALSE,588,19,0,7098,8132,5,77300,9,2/8/2021 15:46
197,TikTok,DoordashGirl,7.57497E+18,2027-03-25 22:14:05.133000+00:00,Latest update on DoorDash girl a.k.a. Irlmonsterhighdoll aka Olivia. #doordashgirl #doordash #update #olivia #arrest ,en,114,FALSE,,FALSE,FALSE,200700,3284,4312,2100000,52800,437,3400000,378,11/20/2025 18:20
198,TikTok,DoordashGirl,7.56423E+18,2027-02-24 07:12:34.885000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,120,FALSE,,FALSE,FALSE,58,6,4,17500,6,0,68,13,10/22/2025 20:58
199,TikTok,DoordashGirl,7.57363E+18,2027-03-22 05:50:52.304000+00:00,Doordash girl has been arrested and charged for Unlawful surveillance and Dissemination of an unlawful surveillance image #truecrimetok#tiktoktea#doordash#doordashdriver#fired,en,114,FALSE,,FALSE,FALSE,301,24,34,27800,10100,0,21400,72,11/17/2025 4:01
200,TikTok,DoordashGirl,7.56583E+18,2027-02-28 17:15:57.903000+00:00,The DoorDash Girl is back#DoorDashGirl #DoorDash #Sora #Ai #Trending,en,120,FALSE,,FALSE,FALSE,22700,371,1360,960500,14000,9,372300,210,10/27/2025 4:32
